Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Date Time
Germany,Hameln,37,Good,1,Good,59,Good,3,Good,8,Good,2022-06-24 02:00:00
United Republic of Tanzania,Kilindoni,36,Good,4,Good,116,Good,88,Good,2,Good,2022-01-05 10:00:00
Croatia,Vukovar,69,Moderate,3,Good,69,Good,54,Good,15,Moderate,2022-05-28 05:00:00
Germany,Erlenbach,35,Good,3,Good,69,Good,62,Good,10,Good,2022-10-09 14:00:00
India,Baramula,152,Unhealthy,8,Good,10,Good,94,Good,96,Unhealthy,2022-12-03 05:00:00
Paraguay,Asuncion,26,Good,7,Good,98,Good,25,Good,8,Good,2022-10-01 06:00:00
Japan,Nobeoka,40,Good,10,Good,20,Good,73,Good,10,Good,2022-03-27 23:00:00
Germany,Cadolzburg,64,Moderate,1,Good,108,Moderate,98,Good,16,Moderate,2022-11-03 19:00:00
Philippines,Calatagan,50,Good,2,Good,95,Good,96,Good,10,Good,2022-08-22 02:00:00
India,Shahpura,169,Unhealthy,12,Good,114,Good,28,Good,105,Unhealthy,2022-11-24 23:00:00
United States of America,Takoma Park,47,Good,12,Good,52,Good,81,Good,0,Good,2022-02-17 01:00:00
Mexico,Cuautepec,160,Unhealthy,6,Good,85,Good,78,Good,140,Unhealthy,2022-09-18 20:00:00
United Republic of Tanzania,Maswa,24,Good,9,Good,41,Good,52,Good,9,Good,2022-08-15 03:00:00
France,Coudekerque Branche,44,Good,7,Good,30,Good,4,Good,3,Good,2022-07-08 09:00:00
Belgium,Temse,42,Good,0,Good,21,Good,93,Good,7,Good,2022-01-22 12:00:00
India,Dahanu,76,Moderate,0,Good,33,Good,35,Good,21,Moderate,2022-08-17 18:00:00
Japan,Yoshii,69,Moderate,3,Good,11,Good,2,Good,22,Moderate,2022-06-24 13:00:00
United States of America,Rome,67,Moderate,8,Good,86,Good,22,Good,33,Moderate,2022-05-29 22:00:00
South Africa,Glencoe,139,Unhealthy for Sensitive Groups,13,Good,80,Good,9,Good,45,Unhealthy for Sensitive Groups,2022-01-29 11:00:00
Colombia,Soata,26,Good,6,Good,3,Good,7,Good,11,Good,2022-08-23 13:00:00
Russian Federation,Krasnogvardeyskoye,48,Good,13,Good,16,Good,52,Good,6,Good,2022-09-14 20:00:00
Lesotho,Quthing,77,Moderate,2,Good,108,Good,98,Good,15,Moderate,2022-05-13 04:00:00
Italy,Racconigi,73,Moderate,13,Good,43,Good,82,Good,33,Moderate,2022-02-15 08:00:00
United Kingdom of Great Britain and Northern Ireland,Havant,41,Good,6,Good,0,Good,89,Good,8,Good,2022-04-26 23:00:00
Netherlands,Sint Oedenrode,38,Good,7,Good,9,Good,19,Good,1,Good,2022-10-08 08:00:00
Italy,Porto Empedocle,65,Moderate,14,Good,73,Good,97,Good,15,Moderate,2022-12-22 18:00:00
United Kingdom of Great Britain and Northern Ireland,Cheltenham,47,Good,13,Good,106,Good,90,Good,5,Good,2022-09-12 22:00:00
India,Fatehgarh Churian,248,Very Unhealthy,0,Good,52,Unhealthy,13,Good,159,Very Unhealthy,2022-06-04 03:00:00
Poland,Sulecin,55,Moderate,7,Good,111,Good,89,Good,35,Moderate,2022-06-08 20:00:00
Japan,Yatsuo,43,Good,3,Good,117,Good,90,Good,5,Good,2022-12-31 03:00:00
Germany,Lilienthal,65,Moderate,5,Good,92,Good,69,Good,25,Moderate,2022-09-21 00:00:00
India,Karauli,213,Very Unhealthy,7,Good,22,Good,80,Good,202,Very Unhealthy,2022-11-28 08:00:00
Iran (Islamic Republic of),Zanjan,58,Moderate,2,Good,53,Good,83,Good,17,Moderate,2022-06-19 16:00:00
Germany,Goslar,38,Good,10,Good,99,Good,35,Good,4,Good,2022-07-16 18:00:00
India,Hangal,70,Moderate,5,Good,3,Good,35,Good,28,Moderate,2022-09-28 13:00:00
India,Sardhana,160,Unhealthy,4,Good,25,Unhealthy for Sensitive Groups,36,Good,87,Unhealthy,2022-01-20 21:00:00
Japan,Hitoyoshi,52,Moderate,7,Good,84,Good,64,Good,13,Moderate,2022-01-13 05:00:00
Germany,Bremen,66,Moderate,14,Good,4,Good,91,Good,28,Moderate,2022-03-10 19:00:00
United States of America,Taylors,58,Moderate,10,Good,2,Good,97,Good,25,Moderate,2022-02-16 22:00:00
Russian Federation,Gorkovskiy,38,Good,2,Good,53,Good,61,Good,12,Good,2022-09-03 04:00:00
China,Beibei,166,Unhealthy,13,Good,96,Moderate,84,Good,87,Unhealthy,2022-05-18 17:00:00
Spain,Huesca,37,Good,5,Good,65,Good,80,Good,10,Good,2022-12-17 11:00:00
Ghana,Nsawam,28,Good,10,Good,77,Good,33,Good,9,Good,2022-09-21 11:00:00
Pakistan,Sarhari,165,Unhealthy,10,Good,32,Good,18,Good,138,Unhealthy,2022-11-26 18:00:00
United States of America,Ledyard,41,Good,1,Good,24,Good,3,Good,5,Good,2022-11-10 21:00:00
Germany,Kall,58,Moderate,5,Good,113,Good,77,Good,34,Moderate,2022-07-17 00:00:00
Kazakhstan,Ilyich,161,Unhealthy,5,Good,45,Moderate,69,Good,96,Unhealthy,2022-04-21 10:00:00
India,Phulabani,161,Unhealthy,9,Good,43,Moderate,34,Good,124,Unhealthy,2022-07-15 10:00:00
India,Kodumudi,71,Moderate,3,Good,1,Good,63,Good,34,Moderate,2022-05-12 20:00:00
France,Le Robert,106,Unhealthy for Sensitive Groups,9,Good,105,Good,7,Good,37,Unhealthy for Sensitive Groups,2022-04-14 23:00:00
Russian Federation,Korkino,34,Good,0,Good,96,Good,60,Good,8,Good,2022-02-10 10:00:00
France,Epernay,53,Moderate,6,Good,77,Good,52,Good,13,Moderate,2022-02-13 04:00:00
United States of America,Wayland,47,Good,10,Good,43,Good,83,Good,7,Good,2022-10-31 19:00:00
Chile,Curico,93,Moderate,4,Good,36,Good,82,Good,19,Moderate,2022-07-06 21:00:00
France,Septemes Les Vallons,31,Good,8,Good,25,Good,77,Good,0,Good,2022-10-19 11:00:00
Myanmar,Taunggyi,39,Good,7,Good,61,Good,55,Good,11,Good,2022-04-08 15:00:00
United Republic of Tanzania,Kisesa,24,Good,4,Good,76,Good,83,Good,4,Good,2022-04-28 20:00:00
India,Manohar Thana,168,Unhealthy,3,Good,118,Good,46,Good,72,Unhealthy,2022-01-22 20:00:00
United States of America,Lompoc,38,Good,6,Good,111,Good,78,Good,2,Good,2022-05-31 04:00:00
Russian Federation,Cherdakly,51,Moderate,8,Good,116,Good,72,Good,34,Moderate,2022-02-06 14:00:00
France,Levallois Perret,70,Moderate,9,Good,15,Good,16,Good,13,Moderate,2022-08-22 22:00:00
France,Epernay,53,Moderate,6,Good,47,Good,68,Good,13,Moderate,2022-10-27 05:00:00
Iran (Islamic Republic of),Bandar E Torkaman,153,Unhealthy,8,Good,65,Good,43,Good,102,Unhealthy,2022-10-17 16:00:00
Japan,Inuyama,47,Good,14,Good,2,Good,41,Good,3,Good,2022-01-27 02:00:00
Hungary,Tata,66,Moderate,3,Good,101,Good,66,Good,24,Moderate,2022-11-15 08:00:00
Germany,Wehr,94,Moderate,10,Good,64,Good,76,Good,26,Moderate,2022-08-24 12:00:00
Brazil,Iguaba Grande,61,Moderate,10,Good,87,Good,29,Good,33,Moderate,2022-07-07 03:00:00
Italy,Pavullo Nel Frignano,95,Moderate,4,Good,0,Good,31,Good,22,Moderate,2022-05-03 23:00:00
Belgium,De Pinte,36,Good,8,Good,109,Good,79,Good,0,Good,2022-04-03 08:00:00
Brazil,Caririacu,27,Good,0,Good,32,Good,81,Good,12,Good,2022-01-01 07:00:00
United States of America,Shawnee,95,Moderate,14,Good,8,Good,0,Good,32,Moderate,2022-03-03 07:00:00
India,Neyveli,61,Moderate,6,Good,1,Good,92,Good,33,Moderate,2022-01-18 01:00:00
United States of America,Beeville,36,Good,5,Good,117,Good,87,Good,5,Good,2022-11-12 20:00:00
France,Levallois Perret,70,Moderate,11,Good,56,Good,97,Good,15,Moderate,2022-05-29 00:00:00
United States of America,Rock Springs,22,Good,10,Good,77,Good,27,Good,9,Good,2022-07-08 06:00:00
Poland,Katowice,80,Moderate,12,Good,52,Good,82,Good,34,Moderate,2022-10-24 21:00:00
United States of America,Hopkins,54,Moderate,9,Good,49,Good,91,Good,34,Moderate,2022-02-09 05:00:00
Brazil,Piquete,52,Moderate,2,Good,93,Good,29,Good,29,Moderate,2022-10-25 12:00:00
France,Luneville,38,Good,13,Good,117,Good,46,Good,11,Good,2022-05-26 22:00:00
Poland,Pulawy,30,Good,5,Good,68,Good,18,Good,1,Good,2022-12-15 10:00:00
Madagascar,Arivonimamo,21,Good,14,Good,74,Good,29,Good,4,Good,2022-10-13 04:00:00
Russian Federation,Gusev,34,Good,4,Good,80,Good,30,Good,3,Good,2022-01-08 05:00:00
India,Mundwa,212,Very Unhealthy,2,Good,70,Good,28,Good,188,Very Unhealthy,2022-12-05 04:00:00
United States of America,Orange,51,Moderate,12,Good,59,Good,26,Good,34,Moderate,2022-10-06 20:00:00
Afghanistan,Dawlatabad,92,Moderate,9,Good,105,Good,92,Good,31,Moderate,2022-12-26 12:00:00
United States of America,Rosedale,42,Good,3,Good,31,Good,16,Good,7,Good,2022-10-20 01:00:00
Brazil,Russas,28,Good,0,Good,75,Good,70,Good,11,Good,2022-11-18 23:00:00
Pakistan,Bhopalwala,153,Unhealthy,2,Good,112,Unhealthy for Sensitive Groups,27,Good,116,Unhealthy,2022-06-04 04:00:00
Russian Federation,Izberbash,51,Moderate,7,Good,66,Good,85,Good,16,Moderate,2022-03-28 01:00:00
Poland,Krotoszyn,55,Moderate,9,Good,2,Good,66,Good,19,Moderate,2022-10-07 00:00:00
Venezuela (Bolivarian Republic of),El Tocuyo,39,Good,3,Good,16,Good,59,Good,3,Good,2022-05-31 13:00:00
India,Rudarpur,119,Unhealthy for Sensitive Groups,11,Good,11,Moderate,27,Good,51,Unhealthy for Sensitive Groups,2022-11-21 13:00:00
United States of America,Corsicana,47,Good,1,Good,110,Good,25,Good,0,Good,2022-10-30 11:00:00
France,Ajaccio,44,Good,1,Good,33,Good,50,Good,7,Good,2021-07-27 10:00:00
India,Mangaldai,64,Moderate,10,Good,12,Good,66,Good,13,Moderate,2021-04-10 03:00:00
Brazil,Carazinho,19,Good,4,Good,109,Good,36,Good,6,Good,2021-07-23 07:00:00
Thailand,Chumphon,41,Good,4,Good,23,Good,94,Good,5,Good,2021-09-08 13:00:00
Pakistan,Sarai Naurang,175,Unhealthy,12,Good,52,Moderate,30,Good,82,Unhealthy,2021-04-23 12:00:00
France,Limeil Brevannes,73,Moderate,14,Good,87,Good,41,Good,28,Moderate,2021-02-23 13:00:00
Italy,Porto Empedocle,65,Moderate,10,Good,11,Good,90,Good,27,Moderate,2021-10-24 23:00:00
India,Polur,60,Moderate,13,Good,58,Good,72,Good,28,Moderate,2021-08-22 23:00:00
India,Cumbum,106,Unhealthy for Sensitive Groups,7,Good,41,Good,17,Good,44,Unhealthy for Sensitive Groups,2021-10-22 16:00:00
France,Saint Benoit,57,Moderate,7,Good,35,Good,54,Good,33,Moderate,2021-08-08 22:00:00
Germany,Tostedt,35,Good,10,Good,40,Good,19,Good,11,Good,2021-05-19 15:00:00
France,Saint Sebastien Sur Loire,32,Good,3,Good,13,Good,2,Good,8,Good,2021-09-24 11:00:00
United Kingdom of Great Britain and Northern Ireland,Salford,58,Moderate,9,Good,116,Good,45,Good,24,Moderate,2021-04-28 11:00:00
India,Silvassa,134,Unhealthy for Sensitive Groups,6,Good,39,Good,8,Good,40,Unhealthy for Sensitive Groups,2021-09-01 21:00:00
Italy,Trebaseleghe,78,Moderate,3,Good,33,Good,9,Good,25,Moderate,2021-12-14 20:00:00
Guatemala,San Pedro Sacatepequez,57,Moderate,0,Good,108,Good,3,Good,33,Moderate,2021-02-25 12:00:00
Montenegro,Niksic,79,Moderate,2,Good,81,Good,71,Good,23,Moderate,2021-06-04 16:00:00
Madagascar,Nosy Varika,25,Good,5,Good,37,Good,41,Good,2,Good,2021-02-19 11:00:00
Spain,Martorell,36,Good,5,Good,24,Good,91,Good,12,Good,2021-12-22 04:00:00
India,Tirur,71,Moderate,12,Good,16,Good,62,Good,24,Moderate,2021-09-30 14:00:00
Germany,Rehburg Loccum,43,Good,11,Good,90,Good,54,Good,0,Good,2021-01-24 03:00:00
Brazil,Vitoria Da Conquista,38,Good,2,Good,117,Good,34,Good,4,Good,2021-02-13 21:00:00
United States of America,Fairview Heights,45,Good,11,Good,4,Good,8,Good,1,Good,2021-03-05 02:00:00
India,Sanquelim,84,Moderate,2,Good,43,Good,65,Good,29,Moderate,2021-03-24 09:00:00
Belgium,Soignies,49,Good,6,Good,24,Good,54,Good,10,Good,2021-12-03 17:00:00
Brazil,Sertanopolis,36,Good,10,Good,93,Good,48,Good,3,Good,2021-07-03 19:00:00
Cameroon,Guider,76,Moderate,14,Good,39,Good,57,Good,26,Moderate,2021-01-06 13:00:00
Afghanistan,Geresk,106,Unhealthy for Sensitive Groups,7,Good,112,Good,85,Good,36,Unhealthy for Sensitive Groups,2021-04-15 12:00:00
United States of America,Edison,50,Good,14,Good,25,Good,31,Good,9,Good,2021-09-18 18:00:00
Germany,Bad Langensalza,32,Good,6,Good,84,Good,65,Good,8,Good,2021-07-15 21:00:00
France,Pessac,54,Moderate,11,Good,2,Good,5,Good,18,Moderate,2021-09-04 15:00:00
Philippines,Katipunan,152,Unhealthy,13,Good,66,Good,67,Good,142,Unhealthy,2021-10-04 19:00:00
Slovenia,Celje,85,Moderate,13,Good,21,Good,89,Good,28,Moderate,2021-05-23 21:00:00
China,Shangqiu,132,Unhealthy for Sensitive Groups,4,Good,74,Unhealthy for Sensitive Groups,18,Good,18,Moderate,2021-01-29 01:00:00
South Africa,Fochville,154,Unhealthy,8,Good,24,Good,98,Good,102,Unhealthy,2021-04-27 22:00:00
Belgium,Herzele,51,Moderate,8,Good,94,Good,93,Good,31,Moderate,2021-12-02 01:00:00
United States of America,Beeville,36,Good,8,Good,48,Good,73,Good,5,Good,2021-02-24 11:00:00
Brazil,Varzea Alegre,22,Good,14,Good,108,Good,7,Good,1,Good,2021-09-25 12:00:00
United States of America,Glen Allen,53,Moderate,5,Good,32,Good,64,Good,25,Moderate,2021-05-16 16:00:00
India,Botad,127,Unhealthy for Sensitive Groups,1,Good,102,Good,50,Good,54,Unhealthy for Sensitive Groups,2021-07-05 06:00:00
Greece,Ioannina,69,Moderate,13,Good,24,Good,5,Good,33,Moderate,2021-05-31 06:00:00
El Salvador,Gotera,95,Moderate,4,Good,49,Good,71,Good,31,Moderate,2021-04-18 13:00:00
Ukraine,Chernyakhiv,56,Moderate,0,Good,67,Good,8,Good,31,Moderate,2021-03-27 20:00:00
Spain,San Lorenzo De El Escorial,23,Good,13,Good,41,Good,48,Good,10,Good,2021-03-19 07:00:00
Poland,Szamotuly,51,Moderate,3,Good,20,Good,32,Good,21,Moderate,2021-05-05 19:00:00
Portugal,Lamego,25,Good,12,Good,57,Good,76,Good,5,Good,2021-12-08 15:00:00
Italy,Bracciano,41,Good,4,Good,60,Good,9,Good,4,Good,2021-12-21 04:00:00
United States of America,Woonsocket,42,Good,6,Good,61,Good,67,Good,10,Good,2021-05-05 21:00:00
Panama,Panama,61,Moderate,4,Good,107,Good,29,Good,33,Moderate,2021-03-15 01:00:00
United Republic of Tanzania,Bugarama,45,Good,5,Good,24,Good,34,Good,4,Good,2021-12-24 13:00:00
Thailand,Phon,93,Moderate,2,Good,47,Good,84,Good,25,Moderate,2021-09-11 23:00:00
India,Bhander,166,Unhealthy,11,Good,51,Unhealthy for Sensitive Groups,46,Good,67,Unhealthy,2021-04-04 04:00:00
India,Karimganj,129,Unhealthy for Sensitive Groups,2,Good,38,Good,0,Good,50,Unhealthy for Sensitive Groups,2021-11-06 05:00:00
Viet Nam,Cao Bang,47,Good,8,Good,1,Good,86,Good,1,Good,2021-04-25 19:00:00
Russian Federation,Kurskaya,40,Good,7,Good,105,Good,25,Good,11,Good,2021-10-05 16:00:00
Brazil,Palmares,45,Good,0,Good,56,Good,24,Good,4,Good,2021-03-12 11:00:00
India,Sidhi,162,Unhealthy,12,Good,72,Unhealthy,98,Good,122,Unhealthy,2021-08-23 06:00:00
Myanmar,Loikaw,15,Good,10,Good,85,Good,67,Good,1,Good,2021-11-06 08:00:00
Netherlands,Harenkarspel,38,Good,12,Good,28,Good,90,Good,0,Good,2021-10-27 14:00:00
Lesotho,Quthing,77,Moderate,0,Good,118,Good,46,Good,20,Moderate,2021-09-10 21:00:00
Belgium,Brugge,37,Good,1,Good,31,Good,27,Good,3,Good,2021-07-04 04:00:00
France,Enghien Les Bains,55,Moderate,13,Good,50,Good,61,Good,22,Moderate,2021-06-15 15:00:00
Poland,Szamotuly,51,Moderate,0,Good,41,Good,22,Good,16,Moderate,2021-08-26 07:00:00
Poland,Zory,68,Moderate,7,Good,119,Good,55,Good,30,Moderate,2021-07-02 22:00:00
United States of America,Taylors,58,Moderate,3,Good,105,Good,84,Good,26,Moderate,2021-07-29 17:00:00
Brazil,Novo Cruzeiro,23,Good,13,Good,50,Good,47,Good,11,Good,2021-04-14 22:00:00
United States of America,Berkley,85,Moderate,6,Good,14,Good,35,Good,33,Moderate,2021-02-08 13:00:00
India,Karauli,213,Very Unhealthy,14,Good,95,Good,42,Good,181,Very Unhealthy,2021-02-27 00:00:00
United Kingdom of Great Britain and Northern Ireland,Havant,41,Good,11,Good,9,Good,78,Good,12,Good,2021-09-20 11:00:00
Honduras,Cofradia,74,Moderate,2,Good,74,Good,46,Good,35,Moderate,2021-10-27 08:00:00
Nigeria,Port Harcourt,179,Unhealthy,6,Good,72,Good,13,Good,137,Unhealthy,2021-05-23 19:00:00
Russian Federation,Uzhur,33,Good,7,Good,0,Good,48,Good,4,Good,2021-06-08 06:00:00
India,Rajur,150,Unhealthy,6,Good,47,Good,69,Good,103,Unhealthy,2021-06-23 09:00:00
Japan,Inuyama,47,Good,6,Good,7,Good,0,Good,12,Good,2021-01-17 09:00:00
Czechia,Pisek,66,Moderate,8,Good,59,Good,56,Good,14,Moderate,2021-04-22 07:00:00
Netherlands,Bussum,38,Good,9,Good,4,Good,30,Good,5,Good,2021-12-03 00:00:00
Congo,Kinkala,68,Moderate,5,Good,99,Good,62,Good,25,Moderate,2021-12-23 02:00:00
Brazil,Barreirinha,25,Good,2,Good,90,Good,33,Good,3,Good,2021-05-24 19:00:00
India,Bali Chak,166,Unhealthy,9,Good,79,Moderate,91,Good,140,Unhealthy,2021-06-20 21:00:00
United States of America,South Lake Tahoe,54,Moderate,0,Good,50,Good,94,Good,20,Moderate,2021-12-28 12:00:00
Russian Federation,Meleuz,36,Good,14,Good,7,Good,23,Good,12,Good,2021-03-17 17:00:00
United States of America,Grand Haven,53,Moderate,14,Good,39,Good,7,Good,33,Moderate,2021-07-25 21:00:00
Guatemala,Cubulco,77,Moderate,12,Good,94,Good,43,Good,24,Moderate,2021-08-21 19:00:00
France,Le Robert,106,Unhealthy for Sensitive Groups,4,Good,17,Good,36,Good,38,Unhealthy for Sensitive Groups,2021-04-05 11:00:00
El Salvador,Acajutla,71,Moderate,8,Good,93,Good,58,Good,33,Moderate,2021-04-01 20:00:00
Netherlands,Willemstad,121,Unhealthy for Sensitive Groups,12,Good,12,Good,11,Good,55,Unhealthy for Sensitive Groups,2021-09-12 08:00:00
United States of America,White Settlement,50,Good,12,Good,28,Good,76,Good,4,Good,2021-10-12 13:00:00
United States of America,University Place,44,Good,1,Good,88,Good,84,Good,7,Good,2021-08-05 08:00:00
Netherlands,Haaren,41,Good,13,Good,33,Good,90,Good,3,Good,2021-03-13 10:00:00
Poland,Radzionkow,112,Unhealthy for Sensitive Groups,2,Good,69,Good,42,Good,39,Unhealthy for Sensitive Groups,2021-05-09 13:00:00
Germany,Peine,45,Good,1,Good,50,Good,0,Good,3,Good,2021-01-06 00:00:00
China,Suozhen,156,Unhealthy,0,Good,102,Unhealthy for Sensitive Groups,67,Good,111,Unhealthy,2021-10-22 18:00:00
India,Handia,189,Unhealthy,0,Good,50,Moderate,67,Good,95,Unhealthy,2021-03-23 18:00:00
Romania,Petrila,53,Moderate,10,Good,10,Good,74,Good,30,Moderate,2021-08-18 01:00:00
Netherlands,Breukelen,35,Good,12,Good,15,Good,49,Good,6,Good,2021-09-15 03:00:00
Pakistan,Lalian,173,Unhealthy,2,Good,74,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy,2021-01-09 20:00:00
Italy,Villa Literno,49,Good,11,Good,30,Good,78,Good,12,Good,2021-10-06 01:00:00
Nepal,Baglung,121,Unhealthy for Sensitive Groups,6,Good,85,Good,60,Good,50,Unhealthy for Sensitive Groups,2021-04-17 21:00:00
Germany,Hagen,30,Good,10,Good,22,Good,44,Good,7,Good,2021-02-05 13:00:00
Bulgaria,Kazanlak,56,Moderate,7,Good,25,Good,9,Good,31,Moderate,2021-11-11 05:00:00
Italy,Trezzo,59,Moderate,6,Good,61,Good,42,Good,16,Moderate,2021-06-21 12:00:00
India,Harpalpur,167,Unhealthy,4,Good,11,Unhealthy for Sensitive Groups,18,Good,112,Unhealthy,2021-03-18 15:00:00
United States of America,Little Rock,68,Moderate,6,Good,55,Good,71,Good,35,Moderate,2021-12-21 00:00:00
Italy,Roncade,52,Moderate,13,Good,101,Good,28,Good,28,Moderate,2021-07-29 18:00:00
India,Handia,189,Unhealthy,2,Good,92,Moderate,16,Good,102,Unhealthy,2021-08-11 20:00:00
Brazil,Guapiacu,57,Moderate,12,Good,40,Good,83,Good,14,Moderate,2021-03-19 11:00:00
India,Narnaund,152,Unhealthy,11,Good,13,Unhealthy for Sensitive Groups,60,Good,87,Unhealthy,2021-03-03 10:00:00
Germany,Hameln,37,Good,0,Good,10,Good,79,Good,9,Good,2021-03-01 10:00:00
United Republic of Tanzania,Kilindoni,36,Good,3,Good,64,Good,46,Good,8,Good,2021-11-27 14:00:00
Croatia,Vukovar,69,Moderate,7,Good,61,Good,81,Good,27,Moderate,2021-10-01 00:00:00
Germany,Erlenbach,35,Good,7,Good,70,Good,93,Good,6,Good,2021-11-19 03:00:00
India,Baramula,152,Unhealthy,9,Good,8,Good,76,Good,119,Unhealthy,2021-10-12 04:00:00
Paraguay,Asuncion,26,Good,10,Good,68,Good,31,Good,12,Good,2021-06-21 06:00:00
Japan,Nobeoka,40,Good,12,Good,7,Good,19,Good,12,Good,2021-04-28 20:00:00
Germany,Cadolzburg,64,Moderate,7,Good,54,Moderate,6,Good,29,Moderate,2021-12-18 09:00:00
Philippines,Calatagan,50,Good,6,Good,118,Good,36,Good,6,Good,2021-03-21 21:00:00
India,Shahpura,169,Unhealthy,7,Good,12,Good,13,Good,104,Unhealthy,2021-03-26 21:00:00
United States of America,Takoma Park,47,Good,0,Good,104,Good,37,Good,5,Good,2021-09-05 10:00:00
Mexico,Cuautepec,160,Unhealthy,13,Good,9,Good,17,Good,108,Unhealthy,2021-03-27 10:00:00
United Republic of Tanzania,Maswa,24,Good,0,Good,29,Good,77,Good,9,Good,2021-08-27 11:00:00
France,Coudekerque Branche,44,Good,9,Good,20,Good,29,Good,10,Good,2021-10-26 06:00:00
Belgium,Temse,42,Good,6,Good,10,Good,87,Good,12,Good,2021-06-03 16:00:00
India,Dahanu,76,Moderate,10,Good,66,Good,91,Good,21,Moderate,2021-02-06 17:00:00
Japan,Yoshii,69,Moderate,10,Good,111,Good,87,Good,32,Moderate,2021-05-24 07:00:00
United States of America,Rome,67,Moderate,8,Good,117,Good,19,Good,30,Moderate,2021-08-23 22:00:00
South Africa,Glencoe,139,Unhealthy for Sensitive Groups,6,Good,25,Good,40,Good,54,Unhealthy for Sensitive Groups,2021-05-03 08:00:00
Colombia,Soata,26,Good,12,Good,28,Good,58,Good,11,Good,2021-06-02 18:00:00
Russian Federation,Krasnogvardeyskoye,48,Good,10,Good,3,Good,91,Good,5,Good,2021-12-08 20:00:00
Lesotho,Quthing,77,Moderate,8,Good,4,Good,59,Good,28,Moderate,2021-04-25 03:00:00
Italy,Racconigi,73,Moderate,0,Good,108,Good,98,Good,14,Moderate,2021-02-14 14:00:00
United Kingdom of Great Britain and Northern Ireland,Havant,41,Good,0,Good,40,Good,30,Good,11,Good,2021-09-10 23:00:00
Netherlands,Sint Oedenrode,38,Good,4,Good,64,Good,71,Good,3,Good,2021-07-12 08:00:00
Italy,Porto Empedocle,65,Moderate,2,Good,107,Good,90,Good,24,Moderate,2021-11-08 19:00:00
United Kingdom of Great Britain and Northern Ireland,Cheltenham,47,Good,3,Good,119,Good,45,Good,1,Good,2021-01-12 04:00:00
India,Fatehgarh Churian,248,Very Unhealthy,2,Good,58,Unhealthy,61,Good,238,Very Unhealthy,2021-03-27 21:00:00
Poland,Sulecin,55,Moderate,4,Good,114,Good,55,Good,29,Moderate,2021-02-16 06:00:00
Japan,Yatsuo,43,Good,13,Good,78,Good,53,Good,3,Good,2021-01-29 18:00:00
Germany,Lilienthal,65,Moderate,9,Good,33,Good,9,Good,32,Moderate,2021-02-18 09:00:00
India,Karauli,213,Very Unhealthy,5,Good,63,Good,81,Good,164,Very Unhealthy,2021-03-14 13:00:00
Iran (Islamic Republic of),Zanjan,58,Moderate,11,Good,16,Good,28,Good,35,Moderate,2021-12-24 12:00:00
Germany,Goslar,38,Good,11,Good,118,Good,60,Good,9,Good,2021-01-11 08:00:00
India,Hangal,70,Moderate,0,Good,33,Good,82,Good,22,Moderate,2021-02-18 00:00:00
India,Sardhana,160,Unhealthy,11,Good,44,Unhealthy for Sensitive Groups,86,Good,126,Unhealthy,2021-04-29 01:00:00
Japan,Hitoyoshi,52,Moderate,1,Good,34,Good,76,Good,35,Moderate,2021-02-07 12:00:00
Germany,Bremen,66,Moderate,10,Good,34,Good,70,Good,19,Moderate,2021-12-27 08:00:00
United States of America,Taylors,58,Moderate,14,Good,1,Good,95,Good,24,Moderate,2021-10-30 09:00:00
Russian Federation,Gorkovskiy,38,Good,9,Good,58,Good,15,Good,4,Good,2021-06-12 18:00:00
China,Beibei,166,Unhealthy,10,Good,56,Moderate,82,Good,117,Unhealthy,2021-11-14 21:00:00
Spain,Huesca,37,Good,5,Good,34,Good,7,Good,4,Good,2021-12-17 03:00:00
Ghana,Nsawam,28,Good,8,Good,47,Good,12,Good,5,Good,2021-08-22 21:00:00
Pakistan,Sarhari,165,Unhealthy,14,Good,65,Good,41,Good,143,Unhealthy,2021-12-31 23:00:00
United States of America,Ledyard,41,Good,10,Good,103,Good,90,Good,3,Good,2021-06-16 03:00:00
Germany,Kall,58,Moderate,2,Good,1,Good,95,Good,25,Moderate,2021-02-27 12:00:00
Kazakhstan,Ilyich,161,Unhealthy,0,Good,71,Moderate,14,Good,66,Unhealthy,2021-07-29 20:00:00
India,Phulabani,161,Unhealthy,2,Good,107,Moderate,4,Good,66,Unhealthy,2021-03-12 16:00:00
India,Kodumudi,71,Moderate,11,Good,50,Good,65,Good,22,Moderate,2021-04-21 02:00:00
France,Le Robert,106,Unhealthy for Sensitive Groups,4,Good,50,Good,87,Good,42,Unhealthy for Sensitive Groups,2021-11-15 00:00:00
Russian Federation,Korkino,34,Good,3,Good,34,Good,83,Good,9,Good,2021-08-09 11:00:00
France,Epernay,53,Moderate,10,Good,82,Good,8,Good,26,Moderate,2021-06-24 23:00:00
United States of America,Wayland,47,Good,10,Good,32,Good,50,Good,6,Good,2021-08-15 13:00:00
Chile,Curico,93,Moderate,5,Good,58,Good,92,Good,20,Moderate,2021-08-15 18:00:00
France,Septemes Les Vallons,31,Good,1,Good,63,Good,41,Good,9,Good,2021-06-05 02:00:00
Myanmar,Taunggyi,39,Good,0,Good,106,Good,97,Good,11,Good,2021-10-14 05:00:00
